__time,/joint_states/header/stamp,/joint_states/joint_a1/effort,/joint_states/joint_a1/position,/joint_states/joint_a1/velocity,/joint_states/joint_a2/effort,/joint_states/joint_a2/position,/joint_states/joint_a2/velocity,/joint_states/joint_a3/effort,/joint_states/joint_a3/position,/joint_states/joint_a3/velocity,/joint_states/joint_a4/effort,/joint_states/joint_a4/position,/joint_states/joint_a4/velocity,/joint_states/joint_a5/effort,/joint_states/joint_a5/position,/joint_states/joint_a5/velocity,/joint_states/joint_a6/effort,/joint_states/joint_a6/position,/joint_states/joint_a6/velocity,/joint_states/joint_a7/effort,/joint_states/joint_a7/position,/joint_states/joint_a7/velocity
1762698517.532196,23.230000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.536775,23.235000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.541503,23.240000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
1762698517.546718,23.245000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.551654,23.250000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.556767,23.255000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,-0.000000000
1762698517.562602,23.260000000,-0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.567585,23.265000000,0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.572613,23.270000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.577726,23.275000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,0.000000000
1762698517.582748,23.280000000,0.000000000,0.499996849,0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,0.000000000,-0.000006805,0.000000000
1762698517.591569,23.285000000,-0.000000000,0.499996849,-0.000000000,32.153460735,-0.785416091,-0.000000000,-2.132108270,0.000005738,0.000000000,-9.022508029,1.396203022,0.000000000,-0.295267583,0.000003355,0.000000000,0.091056000,0.610919595,-0.000000000,-0.000000000,-0.000006805,-0.000000000
